date,announcement_time,company_name,funding_amount,valuation,description,investors,investor_type,deal_stage,deal_url,processed_date,processed_time
2024-01-17,09:30:00,Altera AI,3800000.0,,Game-playing AI agents and reinforcement learning platform,"Innovation Endeavors, Eric Schmidt",Unknown,Pre-seed,https://techcrunch.com/2024/01/17/altera-ai-seed,2025-01-14,10:38:34
2024-01-17,16:45:00,AISecure,30000000.0,180000000.0,AI-powered cybersecurity platform,"Greylock, Lightspeed Venture Partners",Unknown,Series A,https://fortune.com/2024/12/10/aisecure-series-a,2025-01-14,10:38:34
2024-01-17,00:00:00,xAI,6000000000.0,50000000000.0,AI company founded by Elon Musk,"Sequoia, Andreessen Horowitz, Qatar Investment Authority",Unknown,Late Stage/Growth,https://techcrunch.com/2024/12/05/elon-musks-xai-raises-6-billion/,2025-01-14,10:38:34
2024-01-18,10:00:00,Edera AI,4500000.0,,AI-powered Kubernetes security and compliance platform,"Vertex Ventures, Unusual Ventures",Unknown,Pre-seed,https://techcrunch.com/2024/01/18/edera-seed-funding,2025-01-14,10:38:34
2024-01-18,00:00:00,Enfabrica,115000000.0,,AI networking chip startup,"Spark Capital, Sutter Hill Ventures, Cisco Investments, Valor Equity Partners",Unknown,Series C+,https://blog.enfabrica.net/press-release-enfabrica-raises-115m/,2025-01-14,10:38:34
2024-01-08,11:45:00,Qventus,105000000.0,,AI-powered healthcare operations platform,"KKR, Bessemer Venture Partners, HonorHealth",Unknown,Series C+,https://news.google.com/articles/qventus-funding,2025-01-14,10:43:31
2024-01-10,10:30:00,Hippocratic AI,141000000.0,1000000000.0,Healthcare-focused AI company developing specialized AI agents,"General Catalyst, Andreessen Horowitz, NVIDIA",Unknown,Series C+,https://news.google.com/articles/hippocratic-ai-funding,2025-01-14,10:43:31
2024-01-12,15:30:00,NeuroPilot,1800000.0,,AI-driven autonomous systems for robotics applications,"Lux Capital, Robot Ventures",Unknown,Pre-seed,https://techcrunch.com/2024/01/12/neuropilot-pre-seed,2025-01-14,10:43:31
2024-01-12,14:15:00,Writer,200000000.0,1900000000.0,Enterprise AI writing and content generation platform,Multiple investors including venture capital firms,Unknown,Series C+,https://news.google.com/articles/writer-funding,2025-01-14,10:43:31
2024-01-13,10:00:00,AIFlow,2500000.0,,AI workflow automation platform for data scientists,"First Round Capital, Unusual Ventures",Unknown,Pre-seed,https://techcrunch.com/2024/01/13/aiflow-seed,2025-01-14,10:43:31
2024-01-13,00:00:00,Liquid AI,250000000.0,2350000000.0,"Foundation model startup based in Cambridge, Massachusetts","AMD Ventures, Duke Capital Partners, The Pags Group, OSS Capital",Unknown,Series C+,https://techcrunch.com/2024/12/13/liquid-ai-just-raised-250m/,2025-01-14,10:43:31
2024-01-14,14:45:00,HoundDog AI,3500000.0,,AI-powered developer tool for preventing personal information leaks,"Andreessen Horowitz, Y Combinator",Unknown,Pre-seed,https://techcrunch.com/2024/01/14/hounddog-ai-seed,2025-01-14,10:43:31
2024-01-14,14:30:00,Neural Labs,85000000.0,450000000.0,AI chip design startup developing neural processing units,"Intel Capital, Samsung Ventures, Khosla Ventures",Unknown,Series B,https://venturebeat.com/2024/12/15/neural-labs-funding,2025-01-14,10:43:31
2024-01-15,11:15:00,All Hands AI,5000000.0,,Open source AI agents for developers,"Sequoia Capital, Founders Fund",Unknown,Seed,https://techcrunch.com/2024/01/15/all-hands-ai-seed,2025-01-14,10:43:31
2024-01-15,11:00:00,Quantum AI Systems,150000000.0,900000000.0,Quantum computing startup focusing on AI applications,"Breakthrough Energy Ventures, D1 Capital, Tiger Global",Unknown,Series C+,https://fortune.com/2024/12/14/quantum-ai-systems-funding,2025-01-14,10:43:31
2024-01-15,09:00:00,Anthropic,2000000000.0,60000000000.0,Leading AI research company developing safe and ethical AI systems,Multiple investors in talks,Unknown,Late Stage/Growth,https://news.google.com/articles/anthropic-funding,2025-01-14,10:43:31
2024-01-16,09:30:00,Pharos AI,5000000.0,,AI-powered hospital quality reporting and analytics platform,"Felicis Ventures, Y Combinator",Unknown,Seed,https://techcrunch.com/2024/01/16/pharos-seed-funding,2025-01-14,10:43:31
2024-01-16,11:30:00,Defcon AI,44000000.0,,AI-driven cybersecurity and threat detection platform,"General Catalyst, Lightspeed Venture Partners",Unknown,Series A,https://news.crunchbase.com/defcon-ai-seed,2025-01-14,10:43:31
2024-01-16,09:15:00,DataMind AI,45000000.0,280000000.0,Enterprise AI platform for automated data analysis,"NEA, Accel, Sequoia Capital",Unknown,Series A,https://venturebeat.com/2024/12/12/datamind-series-b,2025-01-14,10:43:31
2024-01-16,00:00:00,Tenstorrent,693000000.0,2700000000.0,AI hardware company based in San Francisco,"Samsung Securities, AFW Partners, Fidelity, Bezos Expeditions, Hyundai Motor Group",Unknown,Series C+,https://techcrunch.com/2024/12/02/jeff-bezos-backed-ai-chip-startup/,2025-01-14,10:43:31
2024-01-17,09:30:00,Altera AI,3800000.0,,Game-playing AI agents and reinforcement learning platform,"Innovation Endeavors, Eric Schmidt",Unknown,Pre-seed,https://techcrunch.com/2024/01/17/altera-ai-seed,2025-01-14,10:43:31
2024-01-17,16:45:00,AISecure,30000000.0,180000000.0,AI-powered cybersecurity platform,"Greylock, Lightspeed Venture Partners",Unknown,Series A,https://fortune.com/2024/12/10/aisecure-series-a,2025-01-14,10:43:31
2024-01-17,10:00:00,Sentient,85000000.0,,AI-powered autonomous systems for enterprise applications,"Founders Fund, Sequoia Capital, a16z",Unknown,Series B,https://news.crunchbase.com/sentient-seed-funding,2025-01-14,10:43:31
2024-01-17,00:00:00,xAI,6000000000.0,50000000000.0,AI company founded by Elon Musk,"Sequoia, Andreessen Horowitz, Qatar Investment Authority",Unknown,Late Stage/Growth,https://techcrunch.com/2024/12/05/elon-musks-xai-raises-6-billion/,2025-01-14,10:43:31
2024-01-18,10:00:00,Edera AI,4500000.0,,AI-powered Kubernetes security and compliance platform,"Vertex Ventures, Unusual Ventures",Unknown,Pre-seed,https://techcrunch.com/2024/01/18/edera-seed-funding,2025-01-14,10:43:31
2024-01-18,00:00:00,Enfabrica,115000000.0,,AI networking chip startup,"Spark Capital, Sutter Hill Ventures, Cisco Investments, Valor Equity Partners",Unknown,Series C+,https://blog.enfabrica.net/press-release-enfabrica-raises-115m/,2025-01-14,10:43:31
